iter	Poisson
0	0.9783134685
1	0.960936714
2	0.9483949455
3	0.9351144271
4	0.924655142
5	0.9164065474
6	0.9086270641
7	0.9023013094
8	0.8968180713
9	0.8918115899
10	0.8879825857
11	0.8840992481
12	0.8811016026
13	0.8785404123
14	0.8762526615
15	0.8740247734
16	0.8718540735
17	0.8697664852
18	0.8684549495
19	0.867164534
20	0.8659015492
21	0.8644307863
22	0.8630867994
23	0.8619823676
24	0.8611057849
25	0.8602318385
26	0.8593109826
27	0.8587176345
28	0.8580091919
29	0.8570072658
30	0.8561228951
31	0.8556466489
32	0.8546742694
33	0.8539347818
34	0.8534673185
35	0.8530571194
36	0.8527687868
37	0.8522941775
38	0.8517905902
39	0.8517282875
40	0.8513892492
41	0.850969225
42	0.8504963487
43	0.8500186158
44	0.8498110789
45	0.8494813491
46	0.8491425282
47	0.8488238826
48	0.8484442108
49	0.848391503
50	0.8481142234
51	0.8478371822
52	0.8475670869
53	0.8473522837
54	0.8470064711
55	0.8467802347
56	0.8467621459
57	0.8465795599
58	0.8462061824
59	0.8458752113
60	0.845702876
61	0.8454150332
62	0.845183958
63	0.844977139
64	0.8445760346
65	0.8443550944
66	0.8440784263
67	0.8438839641
68	0.8436541917
69	0.8434356329
70	0.8432402574
71	0.8430201419
72	0.8429835888
73	0.8428849119
74	0.8427627801
75	0.8425284042
76	0.8422075897
77	0.8420582123
78	0.841916084
79	0.841682954
80	0.8416691732
81	0.8415202538
82	0.8412573427
83	0.8411810865
84	0.8410744174
85	0.8408731999
86	0.8407120036
87	0.8405271848
88	0.8404237975
89	0.8402479071
90	0.8400944211
91	0.8398954884
92	0.8397663168
93	0.8396064454
94	0.839490426
95	0.8393321625
96	0.8391850676
97	0.8389009034
98	0.8385980308
99	0.8384528265
100	0.8381954806
101	0.8379923743
102	0.8377476457
103	0.837738895
104	0.8377243067
105	0.8376945345
106	0.8375777345
107	0.8373617018
108	0.8372073675
109	0.8370757978
110	0.8368010607
111	0.8365568484
112	0.8364157358
113	0.8362715756
114	0.8360751167
115	0.8359702762
116	0.835958186
117	0.8358400993
118	0.8355854551
119	0.8354987832
120	0.8353130504
121	0.8351164994
122	0.83498619
123	0.8348323751
124	0.8347408308
125	0.8345078884
126	0.8343164828
127	0.8339645418
128	0.8338647208
129	0.8336126122
130	0.8335052508
131	0.8333206896
132	0.8329709882
133	0.8328527386
134	0.8326585966
135	0.8324035551
136	0.8321846202
137	0.8320128172
138	0.8318239221
139	0.8317082677
140	0.831525231
141	0.831222368
142	0.8311102467
143	0.8309563268
144	0.8308647281
145	0.830731643
146	0.8306081286
147	0.8304928279
148	0.8303407179
149	0.8300477922
150	0.829922798
151	0.829793203
152	0.8297790459
153	0.8297037465
154	0.8293871436
155	0.8293013224
156	0.8292571044
157	0.8290350265
158	0.8289255597
159	0.8286826408
160	0.8285798211
161	0.8284282429
162	0.8282811969
163	0.8280198863
164	0.8279104721
165	0.8277186198
166	0.8275676534
167	0.8273753444
168	0.8272330717
169	0.8270251539
170	0.8268808877
171	0.826687694
172	0.8265310289
173	0.8262653197
174	0.8261220124
175	0.8259732501
176	0.8257531726
177	0.8256509018
178	0.8254573119
179	0.8253278456
180	0.8252698873
181	0.8252449083
182	0.8251201724
183	0.8250552407
184	0.8249059726
185	0.8247074601
186	0.8245653981
187	0.8243760794
188	0.8241811146
189	0.8241704569
190	0.8240695108
191	0.8238907169
192	0.8235564607
193	0.8234447264
194	0.8232745584
195	0.823214122
196	0.8229339812
197	0.8227370547
198	0.8226107219
199	0.8224836914
200	0.8223067527
201	0.8221971703
202	0.8220254471
203	0.8217584222
204	0.8216177773
205	0.8213824278
206	0.8212314412
207	0.8211176118
208	0.8208829008
209	0.8206366837
210	0.8204671019
211	0.8203461062
212	0.8202076193
213	0.8200420507
214	0.8200329199
215	0.8198747059
216	0.8196502595
217	0.8196375423
218	0.8195656178
219	0.819399083
220	0.8193307387
221	0.8191746425
222	0.8190851438
223	0.8189035653
224	0.8186943156
225	0.818615583
226	0.8184324659
227	0.8182097339
228	0.8178396297
229	0.8175800766
230	0.8174711268
231	0.8173332912
232	0.8171930746
233	0.8170461699
234	0.8169406715
235	0.816744869
236	0.8165969492
237	0.8164429044
238	0.8163134458
