date,home_team,away_team,home_goals,away_goals,is_neutral,is_intl,home_elo,away_elo
1897-02-20,England,Ireland,6,0,0,1,1640.5379040761502,1345.1521283266554
1897-03-06,Ireland,Wales,4,3,0,1,1342.7431805818485,1404.480845105388
1897-03-20,Wales,Scotland,2,2,0,1,1394.143136433697,1609.8291224918064
1897-03-27,Scotland,Ireland,5,1,0,1,1605.391687288028,1353.0808892535395
1897-03-29,England,Wales,4,0,0,1,1642.9468518209571,1398.5805716374755
1897-04-03,England,Scotland,1,2,0,1,1646.0505287294147,1608.3773342008276
1898-02-19,Wales,Ireland,0,1,0,1,1395.4768947290179,1350.0952423407398
1898-03-05,Ireland,England,2,3,0,1,1362.7735961716185,1633.5793232954054
1898-03-19,Scotland,Wales,5,2,0,1,1620.848539634837,1382.7985408981392
1898-03-26,Ireland,Scotland,0,3,0,1,1358.3920789326048,1624.0487519758294
1898-03-28,Wales,England,0,3,0,1,1379.5983285571467,1637.960840534419
1898-04-02,Scotland,England,1,3,0,1,1628.5325315804357,1642.5923694877597
1899-02-18,England,Ireland,13,2,0,1,1653.623136489649,1353.9082993279985
1899-03-04,Ireland,Wales,1,0,0,1,1351.5516547423379,1374.966799603806
1899-03-18,Wales,Scotland,0,6,0,1,1365.730483391991,1617.5017645785465
1899-03-20,England,Wales,4,0,0,1,1655.9797810753096,1360.962546258196
1899-03-25,Scotland,Ireland,9,1,0,1,1622.2697017123414,1360.787970954153
1899-04-08,England,Scotland,2,1,0,1,1658.393227450473,1625.123727198213
1900-02-03,Scotland,Wales,5,2,0,1,1617.4755569538029,1358.5490998830326
1900-02-24,Wales,Ireland,2,0,0,1,1355.6588947953474,1357.9339454682815
1900-03-03,Ireland,Scotland,0,3,0,1,1349.2990050691742,1620.365762041488
1900-03-17,Ireland,England,0,2,0,1,1344.9226270343515,1666.041397694883
1900-03-26,Wales,England,1,1,0,1,1364.2938351944547,1669.5123649288216
1900-04-07,Scotland,England,4,1,0,1,1624.7421400763108,1663.2537836996457
1901-02-23,Scotland,Ireland,11,0,0,1,1634.4115990587227,1341.451659800413
1901-03-02,Wales,Scotland,1,1,0,1,1370.5524164236306,1636.850291345301
1901-03-09,England,Ireland,3,0,0,1,1653.5843247172338,1339.0129675138346
1901-03-18,England,Wales,6,0,0,1,1655.7689034581085,1376.0814633227194
1901-03-23,Ireland,Wales,0,1,0,1,1336.82838877296,1373.4743857185922
1901-03-30,England,Scotland,2,2,0,1,1658.3759810622357,1631.3212444462122
1902-02-22,Wales,Ireland,0,3,0,1,1383.8585556612356,1326.4442188303165
1902-03-01,Ireland,Scotland,1,5,0,1,1339.440976238017,1633.5033969928727
1902-03-03,Wales,England,0,0,0,1,1370.8617982535352,1656.1938285155752
1902-03-15,Scotland,Wales,5,1,0,1,1637.4440764855697,1376.7596724109358
