club_id,club,league_id,league,season,wins,draws,losses,pts,avg_xG,total_goals,total_goals_cond
170,Nice,5,Ligue 1,2014,13,9,16,48,1.1893393289473684,44,53
171,Monaco,5,Ligue 1,2014,20,11,7,71,1.4896888421052632,51,26
174,Toulouse,5,Ligue 1,2014,12,6,20,42,1.0703403210526314,43,64
175,Saint-Etienne,5,Ligue 1,2014,19,12,7,69,1.223511,51,30
176,Bordeaux,5,Ligue 1,2014,17,12,9,63,1.2687698947368422,47,44
177,Reims,5,Ligue 1,2014,12,8,18,44,1.1433890789473684,47,66
178,Lyon,5,Ligue 1,2014,22,9,7,75,1.6539955,72,33
179,Lorient,5,Ligue 1,2014,12,7,19,43,1.0798818684210527,44,50
180,Metz,5,Ligue 1,2014,7,9,22,30,0.9873447394736843,31,61
183,Spartak Moscow,6,RFPL,2014,12,8,10,44,1.3637818333333334,42,42
184,FC Ufa,6,RFPL,2014,7,10,13,31,0.7501070766666668,26,39
185,CSKA Moscow,6,RFPL,2014,19,3,8,60,1.7007346333333333,67,27
186,Rubin Kazan,6,RFPL,2014,13,9,8,48,1.4234656666666665,39,33
187,FC Rostov,6,RFPL,2014,7,8,15,29,0.9788333333333333,27,51
188,FK Akhmat,6,RFPL,2014,10,7,13,37,0.8888028666666667,30,30
189,Zenit St. Petersburg,6,RFPL,2014,20,7,3,67,1.6839303333333333,58,17
190,Dinamo Moscow,6,RFPL,2014,14,8,8,50,1.4926379333333335,53,36
191,Mordovya,6,RFPL,2014,11,5,14,38,0.8022777033333334,22,43
192,Lokomotiv Moscow,6,RFPL,2014,11,10,9,43,1.1096512666666667,31,25
195,Amkar,6,RFPL,2014,8,8,14,32,0.8500967666666667,25,42
196,FC Krasnodar,6,RFPL,2014,17,9,4,60,1.4577166000000001,52,27
197,Kuban Krasnodar,6,RFPL,2014,8,12,10,36,1.1719264333333332,32,36
198,Ural,6,RFPL,2014,9,3,18,30,1.01190691,31,44
200,Arsenal Tula,6,RFPL,2014,7,4,19,25,0.8975323333333333,20,46
202,Queens Park Rangers,1,EPL,2014,8,6,24,30,1.2033181842105263,42,73
203,Cesena,2,Serie A,2014,4,12,22,24,0.9110010210526316,36,73
204,Parma,2,Serie A,2014,6,8,24,26,0.8359459210526315,33,75
205,Paderborn,3,Bundesliga,2014,7,10,17,31,1.0611695588235295,31,65
206,Cordoba,4,La liga,2014,3,11,24,20,0.7832766973684211,22,68
207,Elche,4,La liga,2014,11,8,19,41,1.0423908684210526,35,62
208,Almeria,4,La liga,2014,8,8,22,32,1.0176301184210526,35,64
209,Evian Thonon Gaillard,5,Ligue 1,2014,11,4,23,37,0.8920486342105263,41,62
210,Lens,5,Ligue 1,2014,7,8,23,29,1.0108088684210526,32,61
211,Torpedo Moscow,6,RFPL,2014,6,11,13,29,0.9737461,28,45
71,Aston Villa,1,EPL,2015,3,8,27,17,0.6980805105263158,27,76
72,Everton,1,EPL,2015,11,14,13,47,1.4205545236842105,59,55
73,Bournemouth,1,EPL,2015,11,9,18,42,1.0185746842105263,45,67
74,Southampton,1,EPL,2015,18,9,11,63,1.478989605263158,59,41
75,Leicester,1,EPL,2015,23,12,3,81,1.8004219473684209,68,36
76,West Bromwich Albion,1,EPL,2015,10,13,15,43,1.0461281657894737,34,48
77,Sunderland,1,EPL,2015,9,12,17,39,1.0662413684210528,48,62
78,Crystal Palace,1,EPL,2015,11,9,18,42,1.118622894736842,39,51
79,Norwich,1,EPL,2015,9,7,22,34,1.0312498421052632,39,67
80,Chelsea,1,EPL,2015,12,14,12,50,1.4336768157894737,59,53
81,West Ham,1,EPL,2015,16,14,8,62,1.4315938684210527,65,51
82,Tottenham,1,EPL,2015,19,13,6,70,1.6689305789473685,69,35
83,Arsenal,1,EPL,2015,20,11,7,71,1.9350244210526317,65,36
84,Swansea,1,EPL,2015,12,11,15,47,1.0515432105263158,42,52
85,Stoke,1,EPL,2015,14,9,15,51,1.1217519210526317,41,55
86,Newcastle United,1,EPL,2015,9,10,19,37,0.9896226421052631,44,65
87,Liverpool,1,EPL,2015,16,12,10,60,1.4306753157894736,63,50
88,Manchester City,1,EPL,2015,19,9,10,66,1.7420357894736842,71,41
89,Manchester United,1,EPL,2015,19,9,10,66,1.1953739736842106,49,35
90,Watford,1,EPL,2015,12,9,17,45,1.136832552631579,40,50
94,Verona,2,Serie A,2015,5,13,20,28,1.057158260526316,34,63
95,Roma,2,Serie A,2015,23,11,4,80,1.6954920789473682,83,41
96,Lazio,2,Serie A,2015,15,9,14,54,1.4528657105263159,52,52
97,Bologna,2,Serie A,2015,11,9,18,42,0.9336496578947369,33,45
98,Juventus,2,Serie A,2015,29,4,5,91,1.6576223421052632,75,20
99,Udinese,2,Serie A,2015,10,9,19,39,1.2186810263157895,35,60
100,Palermo,2,Serie A,2015,10,9,19,39,0.9617927368421053,38,65
101,Genoa,2,Serie A,2015,13,7,18,46,1.1917304815789473,45,48
102,Sampdoria,2,Serie A,2015,10,10,18,40,1.0664587368421052,48,61
103,Carpi,2,Serie A,2015,9,11,18,38,1.1413949421052632,37,57
104,Sassuolo,2,Serie A,2015,16,13,9,61,1.2453391578947368,49,40
105,Napoli,2,Serie A,2015,25,7,6,82,1.8296534210526316,80,32
106,Inter,2,Serie A,2015,20,7,11,67,1.4288378684210528,50,38
107,Atalanta,2,Serie A,2015,11,12,15,45,1.2125308157894736,41,47
108,Empoli,2,Serie A,2015,12,10,16,46,0.9957507631578948,40,49
109,Chievo,2,Serie A,2015,13,11,14,50,1.0681549210526315,43,45
110,Fiorentina,2,Serie A,2015,18,10,10,64,1.3998180263157893,60,42
111,AC Milan,2,Serie A,2015,15,12,11,57,1.4185888684210526,49,43
112,Frosinone,2,Serie A,2015,8,7,23,31,0.8906162894736841,35,76
113,Torino,2,Serie A,2015,12,9,17,45,1.3005240526315789,52,55
117,Bayern Munich,3,Bundesliga,2015,28,4,2,88,2.265926382352941,80,17
118,Hamburger SV,3,Bundesliga,2015,11,8,15,41,1.1398107647058824,40,46
119,Bayer Leverkusen,3,Bundesliga,2015,18,6,10,60,1.556113794117647,56,40
120,Hoffenheim,3,Bundesliga,2015,9,10,15,37,1.1633661176470589,39,54
121,Augsburg,3,Bundesliga,2015,9,11,14,38,1.2467781470588235,42,52
122,Hertha Berlin,3,Bundesliga,2015,14,8,12,50,1.0557359411764704,42,42
123,Werder Bremen,3,Bundesliga,2015,10,8,16,38,1.4742300411764706,50,65
124,Schalke 04,3,Bundesliga,2015,15,7,12,52,1.386171205882353,51,49
125,Mainz 05,3,Bundesliga,2015,14,8,12,50,1.4092412647058823,46,42
126,Ingolstadt,3,Bundesliga,2015,10,10,14,40,1.2065802676470587,33,42
127,Darmstadt,3,Bundesliga,2015,9,11,14,38,1.1479803205882353,38,53
128,Hannover 96,3,Bundesliga,2015,7,4,23,25,0.9537997529411766,31,62
129,Borussia Dortmund,3,Bundesliga,2015,24,6,4,78,2.453242294117647,82,34
130,Borussia M.Gladbach,3,Bundesliga,2015,17,4,13,55,1.5784986470588236,67,50
131,Wolfsburg,3,Bundesliga,2015,12,9,13,45,1.4555707352941176,47,49
132,Eintracht Frankfurt,3,Bundesliga,2015,9,9,16,36,0.9691025235294117,34,52
133,VfB Stuttgart,3,Bundesliga,2015,9,6,19,33,1.6970488823529413,50,75
134,FC Cologne,3,Bundesliga,2015,10,13,11,43,1.2609476176470589,38,42
137,Malaga,4,La liga,2015,12,12,14,48,1.2039969473684209,38,35
138,Sevilla,4,La liga,2015,14,10,14,52,1.6571219473684209,51,50
139,Deportivo La Coruna,4,La liga,2015,8,18,12,42,1.1512391315789474,45,61
140,Real Sociedad,4,La liga,2015,13,9,16,48,1.261766947368421,45,48
141,Espanyol,4,La liga,2015,12,7,19,43,1.2129436842105263,40,74
142,Getafe,4,La liga,2015,9,9,20,36,1.0992943684210528,37,67
143,Atletico Madrid,4,La liga,2015,28,4,6,88,1.4454569736842107,63,18
144,Las Palmas,4,La liga,2015,12,8,18,44,1.0177998157894736,45,53
145,Rayo Vallecano,4,La liga,2015,9,11,18,38,1.375248442105263,52,73
146,Valencia,4,La liga,2015,11,11,16,44,1.3291605,46,48
147,Athletic Club,4,La liga,2015,18,8,12,62,1.418331947368421,58,45
148,Barcelona,4,La liga,2015,29,4,5,91,2.989428157894737,112,29
149,Sporting Gijon,4,La liga,2015,10,9,19,39,1.1202071473684212,40,62
150,Real Madrid,4,La liga,2015,28,6,4,90,2.3803723157894736,110,34
151,Levante,4,La liga,2015,8,8,22,32,1.0321635078947369,37,70
152,Celta Vigo,4,La liga,2015,17,9,12,60,1.3211439473684212,51,59
153,Real Betis,4,La liga,2015,11,12,15,45,1.0555909236842105,34,52
154,Villarreal,4,La liga,2015,18,10,10,64,1.0654951052631578,44,35
155,Granada,4,La liga,2015,10,9,19,39,1.0882429736842105,46,69
156,Eibar,4,La liga,2015,11,10,17,43,1.3925438421052632,49,61
160,Lille,5,Ligue 1,2015,15,15,8,60,1.097202147368421,39,27
161,Paris Saint Germain,5,Ligue 1,2015,30,6,2,96,2.2684460789473686,102,19
162,SC Bastia,5,Ligue 1,2015,14,8,16,50,0.7766825394736842,36,42
163,Rennes,5,Ligue 1,2015,13,13,12,52,1.1290874473684211,52,54
164,Marseille,5,Ligue 1,2015,10,18,10,48,1.2865472368421054,48,42
165,Caen,5,Ligue 1,2015,16,6,16,54,1.1552645263157895,39,52
166,Montpellier,5,Ligue 1,2015,14,7,17,49,1.1351903684210527,49,47
167,Angers,5,Ligue 1,2015,13,11,14,50,0.9627206842105263,40,38
168,Nantes,5,Ligue 1,2015,12,12,14,48,0.9579698947368421,33,44
169,Guingamp,5,Ligue 1,2015,11,11,16,44,1.088150902631579,47,56
