date,home_team,away_team,home_goals,away_goals,is_neutral,is_intl,home_xg,away_xg,xg_available,home_elo,away_elo,home_avg_attack,home_avg_defense,away_avg_attack,away_avg_defense,home_avg_overall,away_avg_overall
2023-11-16,Qatar,Afghanistan,8.0,1.0,0,1,5.71,0.41,1,1500.0,1519.4249887221547,,,,,,
2023-11-16,Algeria,Somalia,3.0,1.0,0,1,,,0,1500.0,1500.0,,,,,,
2023-11-16,Burundi,Gambia,3.0,2.0,0,1,,,0,1500.0,1500.0,,,,,,
2023-11-16,Oman,Taiwan,3.0,0.0,0,1,,,0,1500.0,1519.4249887221547,,,,,,
2023-11-16,Nigeria,Lesotho,1.0,1.0,0,1,,,0,1500.0,1500.0,,,,,,
2023-11-16,Thailand,China,1.0,2.0,0,1,1.0,2.05,1,1500.0,1500.0,,,,,,
2023-11-16,Syria,North Korea,1.0,0.0,0,1,,,0,1500.0,1500.0,,,,,,
2023-11-16,Lebanon,Palestine,0.0,0.0,0,1,,,0,1500.0,1500.0,,,,,,
2023-11-16,Kuwait,India,0.0,1.0,0,1,,,0,1500.0,1500.0,,,,,,
2023-11-16,Yemen,Bahrain,0.0,2.0,0,1,,,0,1509.4249887221547,1500.0,,,,,,
2023-11-16,Iran,Hong Kong,4.0,0.0,0,1,,,0,1500.0,1499.4249887221547,,,,,,
2023-11-16,Tajikistan,Jordan,1.0,1.0,0,1,,,0,1500.0,1500.0,,,,,,
2023-11-16,Bolivia,Peru,2.0,0.0,0,1,1.09,0.79,1,1461.402730899097,1471.5131203259252,,,,,,
2023-11-16,Japan,Myanmar,5.0,0.0,0,1,3.13,0.0,1,1500.0,1509.4249887221547,,,,,,
2023-11-16,South Korea,Singapore,5.0,0.0,0,1,,,0,1500.0,1519.4249887221547,,,,,,
2023-11-16,Botswana,Mozambique,2.0,3.0,0,1,,,0,1500.0,1500.0,,,,,,
2023-11-16,Gabon,Kenya,2.0,1.0,0,1,,,0,1500.0,1500.0,,,,,,
2023-11-16,Sudan,Togo,1.0,1.0,0,1,,,0,1500.0,1500.0,,,,,,
2023-11-16,Iraq,Indonesia,5.0,1.0,0,1,,,0,1500.0,1519.4249887221547,,,,,,
2023-11-16,Egypt,Djibouti,6.0,0.0,0,1,,,0,1500.0,1500.0,,,,,,
2023-11-16,Turkmenistan,Uzbekistan,1.0,3.0,0,1,,,0,1500.0,1500.0,,,,,,
2023-11-16,Cape Verde,Angola,0.0,0.0,0,1,,,0,1500.0,1500.0,,,,,,
2023-11-16,Philippines,Vietnam,0.0,2.0,0,1,,,0,1500.0,1500.0,,,,,,
2023-11-17,Venezuela,Ecuador,0.0,0.0,0,1,0.16,0.17,1,1510.661299026106,1509.8186244067745,,,,,,
2023-11-17,Chile,Paraguay,0.0,0.0,0,1,0.74,0.55,1,1490.566431923484,1490.275320869017,,,,,,
2023-11-17,Swaziland,Libya,0.0,1.0,0,1,,,0,1500.0,1500.0,,,,,,
2023-11-17,Ivory Coast,Seychelles,9.0,0.0,0,1,,,0,1500.0,1500.0,,,,,,
2023-11-17,Ghana,Madagascar,1.0,0.0,0,1,,,0,1500.0,1500.0,,,,,,
2023-11-17,Mali,Chad,3.0,1.0,0,1,,,0,1500.0,1500.0,,,,,,
2023-11-17,Guinea,Uganda,2.0,1.0,0,1,,,0,1500.0,1500.0,,,,,,
2023-11-17,Argentina,Uruguay,0.0,2.0,0,1,0.64,0.77,1,1537.3847783306771,1510.2652007305578,,,,,,
2023-11-17,Liberia,Malawi,0.0,1.0,0,1,,,0,1500.0,1500.0,,,,,,
2023-11-17,Comoros,Central Africa,4.0,2.0,0,1,,,0,1500.0,1500.0,,,,,,
2023-11-17,Burkina Faso,Guinea Bissau,1.0,1.0,0,1,,,0,1500.0,1500.0,,,,,,
2023-11-17,Cameroon,Mauritius,3.0,0.0,0,1,,,0,1500.0,1500.0,,,,,,
2023-11-17,Zambia,Congo,4.0,2.0,0,1,,,0,1500.0,1500.0,,,,,,
2023-11-17,Tunisia,Sao Tome and Principe,4.0,0.0,0,1,,,0,1500.0,1500.0,,,,,,
2023-11-17,Colombia,Brazil,2.0,1.0,0,1,1.36,1.08,1,1509.3327318602337,1508.7797616281277,,,,,,
2023-11-18,Senegal,South Sudan,4.0,0.0,0,1,,,0,1500.0,1500.0,,,,,,
2023-11-18,Niger,Tanzania,0.0,1.0,0,1,,,0,1500.0,1500.0,,,,,,
2023-11-18,South Africa,Benin,2.0,1.0,0,1,,,0,1500.0,1500.0,,,,,,
2023-11-19,Sierra Leone,Egypt,0.0,2.0,0,1,,,0,1501.4292623481676,1508.5707376518324,,,,,,
2023-11-19,Mozambique,Algeria,0.0,2.0,0,1,,,0,1511.4292623481676,1508.5707376518324,,,,,,
2023-11-19,Zimbabwe,Nigeria,1.0,1.0,0,1,,,0,1501.4292623481676,1498.5707376518324,,,,,,
2023-11-19,Sudan,D.R. Congo,1.0,0.0,0,1,,,0,1498.5707376518324,1508.5707376518324,,,,,,
2023-11-19,Burundi,Gabon,1.0,2.0,0,1,,,0,1508.5707376518324,1508.5707376518324,,,,,,
2023-11-20,Seychelles,Kenya,0.0,5.0,0,1,,,0,1491.4292623481676,1491.4292623481676,,,,,,
2023-11-20,Chad,Madagascar,0.0,3.0,0,1,,,0,1491.4292623481676,1491.4292623481676,,,,,,
2023-11-20,Djibouti,Guinea Bissau,0.0,1.0,0,1,,,0,1491.4292623481676,1501.4292623481676,,,,,,
2023-11-20,Mali,Central Africa,1.0,1.0,0,1,,,0,1508.5707376518324,1491.4292623481676,,,,,,
2023-11-20,Liberia,Equatorial Guinea,3.0,0.0,0,1,,,0,1488.5707376518324,1488.5707376518324,,,,,,
2023-11-20,Gambia,Ivory Coast,0.0,2.0,0,1,,,0,1491.4292623481676,1508.5707376518324,,,,,,
2023-11-21,Hong Kong,Turkmenistan,2.0,2.0,0,1,,,0,1490.8704592914535,1488.5707376518324,,,,,,
2023-11-21,Philippines,Indonesia,1.0,1.0,0,1,,,0,1488.5707376518324,1510.302743577357,,,,,,
2023-11-21,Afghanistan,Kuwait,0.0,4.0,0,1,,,0,1510.302743577357,1488.5707376518324,,,,,,
2023-11-21,Vietnam,Iraq,0.0,1.0,0,1,,,0,1511.4292623481676,1509.1222451447977,,,,,,
2023-11-21,Comoros,Ghana,1.0,0.0,0,1,,,0,1508.5707376518324,1508.5707376518324,,,,,,
2023-11-21,Kyrgyzstan,Oman,1.0,0.0,0,1,,,0,1491.4292623481676,1509.1222451447977,,,,,,
2023-11-21,Syria,Japan,0.0,5.0,0,1,0.53,3.41,1,1508.5707376518324,1508.8374377265861,,,,,,
2023-11-21,Jordan,Saudi Arabia,0.0,2.0,0,1,0.94,0.79,1,1501.4292623481676,1508.8537673247542,,,,,,
2023-11-21,Uzbekistan,Iran,2.0,2.0,0,1,,,0,1511.4292623481676,1508.5545294307012,,,,,,
2023-11-21,Malawi,Tunisia,0.0,1.0,0,1,,,0,1511.4292623481676,1508.5707376518324,,,,,,
2023-11-21,Taiwan,Malaysia,0.0,1.0,0,1,,,0,1510.302743577357,1508.5707376518324,,,,,,
2023-11-21,Bangladesh,Lebanon,1.0,1.0,0,1,,,0,1501.1462326752458,1498.5707376518324,,,,,,
2023-11-21,Ethiopia,Burkina Faso,0.0,3.0,0,1,,,0,1498.5707376518324,1498.5707376518324,,,,,,
2023-11-21,Pakistan,Tajikistan,1.0,6.0,0,1,,,0,1501.1462326752458,1498.5707376518324,,,,,,
2023-11-21,Palestine,Australia,0.0,1.0,0,1,0.55,0.66,1,1501.4292623481676,1508.8537673247542,,,,,,
2023-11-21,Singapore,Thailand,1.0,3.0,0,1,0.63,1.02,1,1510.302743577357,1488.5707376518324,,,,,,
2023-11-21,Botswana,Guinea,1.0,0.0,0,1,,,0,1488.5707376518324,1508.5707376518324,,,,,,
2023-11-21,Libya,Cameroon,1.0,1.0,0,1,,,0,1511.4292623481676,1508.5707376518324,,,,,,
2023-11-21,Niger,Zambia,2.0,1.0,0,1,,,0,1488.5707376518324,1508.5707376518324,,,,,,
2023-11-21,Swaziland,Cape Verde,0.0,2.0,0,1,,,0,1488.5707376518324,1498.5707376518324,,,,,,
2023-11-21,Nepal,Yemen,0.0,2.0,0,1,,,0,1501.1462326752458,1497.7310859089582,,,,,,
2023-11-21,Lesotho,Benin,0.0,0.0,0,1,,,0,1501.4292623481676,1491.4292623481676,,,,,,
2023-11-21,Myanmar,North Korea,1.0,6.0,0,1,,,0,1500.5875509955686,1491.4292623481676,,,,,,
2023-11-21,India,Qatar,0.0,3.0,0,1,0.5,2.46,1,1511.4292623481676,1509.1222451447977,,,,,,
2023-11-21,Sao Tome and Principe,Namibia,0.0,2.0,0,1,,,0,1491.4292623481676,1511.4292623481676,,,,,,
2023-11-21,Somalia,Uganda,0.0,1.0,0,1,,,0,1491.4292623481676,1491.4292623481676,,,,,,
2023-11-21,South Sudan,Mauritania,0.0,0.0,0,1,,,0,1491.4292623481676,1491.4292623481676,,,,,,
2023-11-21,China,South Korea,0.0,3.0,0,1,0.14,1.7,1,1511.4292623481676,1509.1222451447977,,,,,,
2023-11-21,Mauritius,Angola,0.0,0.0,0,1,,,0,1491.4292623481676,1501.4292623481676,,,,,,
2023-11-21,Tanzania,Morocco,0.0,2.0,0,1,,,0,1511.4292623481676,1500.0,,,,,,
2023-11-21,Bahrain,United Arab Emirates,0.0,2.0,0,1,,,0,1511.6939028131965,1508.8537673247542,,,,,,
2023-11-21,Rwanda,South Africa,2.0,0.0,0,1,,,0,1498.5707376518324,1508.5707376518324,,,,,,
2023-11-21,Togo,Senegal,0.0,0.0,0,1,,,0,1501.4292623481676,1508.5707376518324,,,,,,
2023-11-22,Paraguay,Colombia,0.0,1.0,0,1,0.96,2.3,1,1491.7127899197692,1517.8878824340234,,,,,,
2023-11-22,Peru,Venezuela,1.0,1.0,0,1,0.68,0.89,1,1462.656217368423,1509.2082862935451,,,,,,
2023-11-22,Uruguay,Bolivia,3.0,0.0,0,1,1.89,0.14,1,1522.4491306103364,1470.259633856599,,,,,,
